mode;topic;rule1;rule2;exampleA;exampleI;exampleN;type;wordBank;question;answer
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(we / not / go out much);we do not go out much
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(he / know how to play the violin?);does he know how to play the violin?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(why / I / have to clean up?);why do I have to clean up?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(she / not / sleep late at the weekends);she does not sleep late at the weekends
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(I / love studying languages?);do I love studying languages?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(we / not / believe the Prime Minister);we do not believe the Prime Minister
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(you / understand the question?);do you understand the question?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(she / not / want to go to the cinema);she does not want to go to the cinema
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(david / want some coffee?);does david want some coffee?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(what / Lucy / do at the weekends?);what does Lucy do at the weekends?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(they / not / work late on Fridays);they do not work late on Fridays
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(you / own a car?);do you own a car?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(where / alicia / work?);where does alicia work?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(when / she / go to her Chinese class?);when does she go to her Chinese class?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(I / not / believe you);I do not believe you
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(you / like going to restaurants?);do you like going to restaurants?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(I / not / like coffee);I do not like coffee
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(I / not / live in Paris);I do not live in Paris
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(she / not / come from spain);she does not come from spain
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(John / not / work in a bank);John does not work in a bank
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(they / not / get up at eight o´clock);they do not get up at eight o´clock
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(we / not / go to the cinema every Friday);we do not go to the cinema every Friday
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(you / not / read the newspaper every day);you do not read the newspaper every day
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(he / not / go to school in France);he does not go to school in France
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(we / not / watch tv in the evening);we do not watch tv in the evening
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(I / not / have a shower in the morning);I do not have a shower in the morning
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(she / not / drink tea every afternoon);she does not drink tea every afternoon
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(they / not / visit their parents at the weekend);they do not visit their parents at the weekend
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(you / not / study English very often);you do not study English very often
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(it / not / rain here in the summer);it does not rain here in the summer
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(we / not / go out on tuesday nights);we do not go out on tuesday nights
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(he / not / like cabbage);he does not like cabbage
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(the sun / not / go round the earth);the sun does not go round the earth
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(she / not / play the piano);she does not play the piano
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(I / not / smoke);I do not smoke
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(Julie and Lucy / not / play football);Julie and Lucy do not play football
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(he / not / enjoy jazz);he does not enjoy jazz
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(we / not / buy many clothes);we do not buy many clothes
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(she / not / like studying);she does not like studying
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(you / not / love me);you do not love me
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(they / not / work at home);they do not work at home
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(Lucy / not / have a computer);Lucy does not have a computer
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(I / not / take the bus at night);I do not take the bus at night
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(david / not / travel much);david does not travel much
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(we / not / have any children);we do not have any children
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(you / not / study Biology);you do not study Biology
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(Julie / not / listen to much music);Julie does not listen to much music
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(they / not / live close to our house);they do not live close to our house
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(she / not / work abroad);she does not work abroad
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(you / not / own a bicycle);you do not own a bicycle
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(I / not / get up early);I do not get up early
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(they / not / have a car);they do not have a car
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(he / not / come home late);he does not come home late
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(I / not / like travelling by plane);I do not like travelling by plane
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(you / not / come from africa);you do not come from africa
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(she / not / have any brothers or sisters);she does not have any brothers or sisters
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(they / live in London);they live in London
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(they / wear suits to work?);do they wear suits to work?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(he / not / say much);he does not say much
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(when / she / study?);when does she study?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(I / not / leave work on time very often);I do not leave work on time very often
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(she / meet her brother every week?);does she meet her brother every week?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(they / find London´s weather cold);they find London´s weather cold
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(we / use the computer every day?);do we use the computer every day?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(you / not / smoke);you do not smoke
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(why / we / always get into trouble?);why do we always get into trouble?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(what/ they / usually cook?);what do they usually cook?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(what / we / need?);what do we need?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(they / not / win at tennis);they do not win at tennis
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(what / they / like to watch on tv?);what do they like to watch on tv?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(I / do my homework every night);I do my homework every night
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(why / she / swim every morning?);why does she swim every morning?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(he / teach in a school?);does he teach in a school?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;(the Queen / like her dogs);the Queen likes her dogs
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;________ (she / play) tennis every week?;does she play tennis every week?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;I ________ (not / play) the piano often.;I do not play the piano often
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;________ (we / make) too much noise at night?;do we make too much noise at night?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;where ________ (harry / study)?;where does harry study?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;they ________ (not / like) animals.;they do not like animals
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;________ (the dog / eat) chicken?;does the dog eat chicken?
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;I ________ from London.;I am from London
translation;Present Simple;Use DO/DOES in questions;Use DON'T/DOESN'T in negatives;I work every day;Do you work every day?;I don't work every day;SENTENCE BUILDER;.;You ________ a doctor.;you are a doctor
