mode;topic;wordBank;question;answer
translation;100%;SOMETIMES, NEVER, ALWAYS;I _______ drink coffee in the morning.;always
translation;0%;SOMETIMES, NEVER, ALWAYS;She _______ eats fast food.;never
translation;50%;SOMETIMES, NEVER, ALWAYS;They _______ go to the beach on weekends.;sometimes
translation;100%;SOMETIMES, NEVER, ALWAYS;He _______ arrives on time for work.;always
translation;0%;SOMETIMES, NEVER, ALWAYS;We _______ watch horror movies.;never
translation;50%;SOMETIMES, NEVER, ALWAYS;I _______ forget my keys.;sometimes
translation;100%;SOMETIMES, NEVER, ALWAYS;My dog _______ follows me around the house.;always
translation;0%;SOMETIMES, NEVER, ALWAYS;She _______ drinks soda.;never
translation;50%;SOMETIMES, NEVER, ALWAYS;He _______ plays video games after dinner.;sometimes
translation;100%;SOMETIMES, NEVER, ALWAYS;They _______ brush their teeth before bed.;always
translation;0%;SOMETIMES, NEVER, ALWAYS;I _______ smoke.;never
translation;50%;SOMETIMES, NEVER, ALWAYS;We _______ eat at restaurants.;sometimes
translation;100%;SOMETIMES, NEVER, ALWAYS;She _______ studies before exams.;always
translation;0%;SOMETIMES, NEVER, ALWAYS;He _______ lies to his friends.;never
translation;50%;SOMETIMES, NEVER, ALWAYS;The bus _______ arrives late.;sometimes
translation;100%;SOMETIMES, NEVER, ALWAYS;I _______ check my email in the morning.;always
translation;0%;SOMETIMES, NEVER, ALWAYS;They _______ miss their flights.;never
translation;50%;SOMETIMES, NEVER, ALWAYS;She _______ works from home.;sometimes
translation;100%;SOMETIMES, NEVER, ALWAYS;We _______ celebrate birthdays together.;always
translation;0%;SOMETIMES, NEVER, ALWAYS;My brother _______ drinks coffee.;never
translation;50%;SOMETIMES, NEVER, ALWAYS;I _______ listen to podcasts while driving.;sometimes
translation;100%;SOMETIMES, NEVER, ALWAYS;The teacher _______ prepares interesting lessons.;always
translation;0%;SOMETIMES, NEVER, ALWAYS;She _______ forgets her password.;never
translation;50%;SOMETIMES, NEVER, ALWAYS;They _______ visit their grandparents.;sometimes
translation;100%;SOMETIMES, NEVER, ALWAYS;He _______ locks the door before leaving.;always
translation;0%;SOMETIMES, NEVER, ALWAYS;We _______ eat breakfast in bed.;never
translation;50%;SOMETIMES, NEVER, ALWAYS;My parents _______ travel abroad.;sometimes
translation;100%;SOMETIMES, NEVER, ALWAYS;I _______ carry my phone with me.;always
translation;0%;SOMETIMES, NEVER, ALWAYS;The children _______ stay up late on school nights.;never
translation;50%;SOMETIMES, NEVER, ALWAYS;She _______ buys new clothes online.;sometimes
translation;100%;SOMETIMES, NEVER, ALWAYS;They _______ exercise in the morning.;always
translation;0%;SOMETIMES, NEVER, ALWAYS;I _______ skip lunch.;never
translation;50%;SOMETIMES, NEVER, ALWAYS;We _______ order pizza on Fridays.;sometimes
translation;100%;SOMETIMES, NEVER, ALWAYS;My cat _______ sleeps on the sofa.;always
translation;0%;SOMETIMES, NEVER, ALWAYS;He _______ forgets his mother's birthday.;never
translation;50%;SOMETIMES, NEVER, ALWAYS;The weather _______ changes quickly here.;sometimes
translation;100%;SOMETIMES, NEVER, ALWAYS;She _______ keeps her room clean.;always
translation;0%;SOMETIMES, NEVER, ALWAYS;They _______ argue about money.;never
translation;50%;SOMETIMES, NEVER, ALWAYS;I _______ read before going to sleep.;sometimes
translation;100%;SOMETIMES, NEVER, ALWAYS;We _______ wear seat belts in the car.;always
translation;0%;SOMETIMES, NEVER, ALWAYS;My father _______ watches reality shows.;never
translation;50%;SOMETIMES, NEVER, ALWAYS;He _______ takes a nap after lunch.;sometimes
translation;100%;SOMETIMES, NEVER, ALWAYS;The employees _______ attend the weekly meeting.;always
translation;0%;SOMETIMES, NEVER, ALWAYS;She _______ leaves dishes in the sink.;never
translation;50%;SOMETIMES, NEVER, ALWAYS;They _______ go hiking during vacations.;sometimes
translation;100%;SOMETIMES, NEVER, ALWAYS;I _______ save my work before closing the computer.;always
translation;0%;SOMETIMES, NEVER, ALWAYS;We _______ ignore safety rules.;never
translation;50%;SOMETIMES, NEVER, ALWAYS;The students _______ study together after class.;sometimes
translation;100%;SOMETIMES, NEVER, ALWAYS;He _______ says thank you when someone helps him.;always
translation;0%;SOMETIMES, NEVER, ALWAYS;She _______ drives without a license.;never
