question;hint;option1;option2;option3;answer
accommodate means...;"";provide space or suitable conditions for someone;remove someone from a place;make something more expensive;provide space or suitable conditions for someone
adjacent means...;"";next to or very close to something;far away from something;inside something;next to or very close to something
advocate means...;"";publicly support an idea or cause;strongly oppose an idea;avoid discussing an issue;publicly support an idea or cause
allocate means...;"";distribute something for a particular purpose;destroy something completely;hide something from others;distribute something for a particular purpose
ambiguous means...;"";having more than one possible meaning;very easy to understand;completely false;having more than one possible meaning
analogy means...;"";a comparison between two things to explain an idea;a disagreement between people;a financial agreement;a comparison between two things to explain an idea
anticipate means...;"";expect something before it happens;prevent something from happening;forget about something;expect something before it happens
arbitrary means...;"";based on personal choice rather than a clear reason;based on scientific evidence;required by law;based on personal choice rather than a clear reason
assemble means...;"";put different parts together;separate parts from each other;destroy an object;put different parts together
assess means...;"";evaluate the quality or importance of something;avoid making a decision;change something completely;evaluate the quality or importance of something
bias means...;"";an unfair preference for one side;a carefully balanced judgment;a financial problem;an unfair preference for one side
cease means...;"";stop happening or continuing;begin unexpectedly;increase gradually;stop happening or continuing
clarify means...;"";make something easier to understand;make something more complicated;remove something completely;make something easier to understand
coherent means...;"";logical and well organized;confusing and disorganized;completely unrelated;logical and well organized
coincide means...;"";happen at the same time or correspond;happen in completely different periods;prevent an event;happen at the same time or correspond
collaborate means...;"";work together with another person or group;compete against another group;avoid working with others;work together with another person or group
compel means...;"";force someone to do something;invite someone politely;prevent someone from acting;force someone to do something
comprehensive means...;"";including everything necessary or important;covering only one small detail;extremely short;including everything necessary or important
concede means...;"";admit that something is true or give up;prove that something is false;refuse to discuss something;admit that something is true or give up
concurrent means...;"";happening at the same time;happening years apart;happening only once;happening at the same time
consecutive means...;"";following one after another without interruption;happening randomly;separated by long periods;following one after another without interruption
consensus means...;"";general agreement among a group;strong disagreement;a personal opinion;general agreement among a group
contradict means...;"";say the opposite of what someone else has said;strongly agree with someone;repeat exactly what someone said;say the opposite of what someone else has said
controversy means...;"";a public disagreement about an issue;a private celebration;a financial transaction;a public disagreement about an issue
convey means...;"";communicate an idea or feeling;hide information completely;destroy evidence;communicate an idea or feeling
correspond means...;"";match or be similar to something;strongly disagree with something;replace something;match or be similar to something
credible means...;"";believable and trustworthy;clearly impossible;unimportant;believable and trustworthy
crucial means...;"";extremely important;slightly interesting;completely unnecessary;extremely important
deduce means...;"";reach a conclusion from available information;make a random guess;forget important information;reach a conclusion from available information
demonstrate means...;"";show or prove something clearly;hide something carefully;prevent something;show or prove something clearly
depict means...;"";represent something in a picture or description;remove something from a picture;hide something completely;represent something in a picture or description
derive means...;"";obtain something from a particular source;lose something permanently;prevent something from developing;obtain something from a particular source
diminish means...;"";become smaller or less important;become larger or stronger;remain exactly the same;become smaller or less important
disclose means...;"";give information that was previously secret;hide information;destroy information;give information that was previously secret
discrete means...;"";separate and distinct;completely connected;identical;separate and distinct
discriminate means...;"";treat someone unfairly because of a particular characteristic;treat everyone equally;avoid making decisions;treat someone unfairly because of a particular characteristic
distort means...;"";change something so that it is no longer accurate;make something completely accurate;copy something exactly;change something so that it is no longer accurate
diverse means...;"";including many different types;including only one type;completely identical;including many different types
elaborate means...;"";containing many details;very simple and basic;completely unfinished;containing many details
empirical means...;"";based on observation or experience;based only on imagination;based on personal preference;based on observation or experience
encounter means...;"";experience something unexpectedly;carefully avoid something;plan something months in advance;experience something unexpectedly
enhance means...;"";improve the quality or value of something;reduce the quality of something;remove something completely;improve the quality or value of something
equivalent means...;"";equal in value, meaning, or function;completely unrelated;much less important;equal in value, meaning, or function
exaggerate means...;"";make something seem greater than it really is;make something smaller than it really is;describe something exactly;make something seem greater than it really is
explicit means...;"";clear and direct;unclear and indirect;completely secret;clear and direct
facilitate means...;"";make an activity easier;make an activity more difficult;stop an activity completely;make an activity easier
fluctuate means...;"";change frequently in level or amount;remain completely stable;disappear permanently;change frequently in level or amount
