question;hint;option1;option2;option3;answer
abandon means...;"";leave behind;create;protect;leave behind
accept means...;"";receive something willingly;refuse something;destroy something;receive something willingly
achieve means...;"";successfully reach a goal;lose something;avoid something;successfully reach a goal
act means...;"";do something or behave in a particular way;wait for something;forget something;do something or behave in a particular way
adapt means...;"";change to suit a new situation;remain exactly the same;remove something;change to suit a new situation
add means...;"";put something together with something else;take something away;break something;put something together with something else
admire means...;"";respect or like someone or something;dislike someone strongly;avoid someone;respect or like someone or something
admit means...;"";accept that something is true;deny everything;forget something;accept that something is true
adopt means...;"";start to use or accept something;throw something away;refuse something;start to use or accept something
afford means...;"";have enough money or time for something;lose something;borrow something;have enough money or time for something
agree means...;"";have the same opinion;have a different opinion;avoid a discussion;have the same opinion
allow means...;"";give permission;prevent something;forget something;give permission
announce means...;"";make something known publicly;hide information;change a plan;make something known publicly
annoy means...;"";make someone slightly angry;make someone happy;help someone;make someone slightly angry
apologize means...;"";say that you are sorry;ask for help;make a complaint;say that you are sorry
appear means...;"";become visible or seem to be something;disappear completely;destroy something;become visible or seem to be something
apply means...;"";make a formal request or use something;remove something;avoid something;make a formal request or use something
appreciate means...;"";recognize the value of something;ignore something;damage something;recognize the value of something
approach means...;"";move closer to something;move away from something;hide from something;move closer to something
argue means...;"";disagree with someone angrily;agree completely;remain silent;disagree with someone angrily
arrange means...;"";organize or plan something;destroy something;cancel something;organize or plan something
arrive means...;"";reach a place;leave a place;forget a place;reach a place
avoid means...;"";stay away from something;look for something;create something;stay away from something
behave means...;"";act in a particular way;build something;remember something;act in a particular way
belong means...;"";be owned by someone;be lost;be expensive;be owned by someone
benefit means...;"";receive an advantage;experience a problem;lose something;receive an advantage
blame means...;"";say someone is responsible for something;thank someone;help someone;say someone is responsible for something
borrow means...;"";take something temporarily and return it later;give something permanently;sell something;take something temporarily and return it later
bother means...;"";annoy or disturb someone;help someone;invite someone;annoy or disturb someone
breathe means...;"";take air into and out of the lungs;run quickly;eat something;take air into and out of the lungs
brief means...;"";short in time or length;very expensive;extremely difficult;short in time or length
cancel means...;"";decide that something will not happen;organize something;continue something;decide that something will not happen
capture means...;"";catch or take control of something;release something;repair something;catch or take control of something
celebrate means...;"";do something special for an important event;cancel an event;forget an event;do something special for an important event
challenge means...;"";something difficult that tests your ability;something very easy;a type of reward;something difficult that tests your ability
change means...;"";make or become different;remain the same;destroy completely;make or become different
claim means...;"";say that something is true;prove something is false;hide something;say that something is true
collect means...;"";bring things together;separate things;throw things away;bring things together
combine means...;"";join things together;separate things;lose things;join things together
complain means...;"";say that you are unhappy about something;express gratitude;offer help;say that you are unhappy about something
concentrate means...;"";give all your attention to something;stop working;change your opinion;give all your attention to something
confirm means...;"";show that something is definitely true;make something uncertain;cancel something;show that something is definitely true
connect means...;"";join two or more things together;separate things;destroy something;join two or more things together
consider means...;"";think carefully about something;ignore something;destroy something;think carefully about something
contain means...;"";have something inside;remove something;lose something;have something inside
continue means...;"";keep doing something;stop immediately;change completely;keep doing something
convince means...;"";make someone believe something;make someone angry;make someone leave;make someone believe something
cope means...;"";deal successfully with a difficult situation;avoid every problem;create difficulties;deal successfully with a difficult situation
correct means...;"";free from mistakes;full of mistakes;impossible to understand;free from mistakes
cost means...;"";have a particular price;give something away;borrow money;have a particular price
create means...;"";make something new;destroy something;copy something exactly;make something new
damage means...;"";harm something;repair something;protect something;harm something
deal means...;"";take action to handle something;ignore something;create something;take action to handle something
decide means...;"";make a choice;avoid making a choice;forget a choice;make a choice
decline means...;"";become smaller or less;increase quickly;remain unchanged;become smaller or less
decrease means...;"";become less or smaller;become greater;remain the same;become less or smaller
delay means...;"";make something happen later;make something happen earlier;finish something;make something happen later
demand means...;"";ask for something strongly;offer something freely;forget something;ask for something strongly
depend means...;"";be affected by something;be completely independent;disagree with something;be affected by something
describe means...;"";give information about what something is like;hide information;destroy something;give information about what something is like
deserve means...;"";be worthy of something;avoid something;lose something;be worthy of something
destroy means...;"";damage something completely;build something;protect something;damage something completely
